complaint,category
Road full of potholes,Road Issue
Huge pothole near school,Road Issue
Road damaged after rain,Road Issue
Garbage lying everywhere,Garbage
Dustbin overflowing,Garbage
Garbage not collected for days,Garbage
Street light not working,Street Light
Street light broken,Street Light
No lights on the road,Street Light
Water pipe leaking,Water Issue
Water leakage on street,Water Issue
No water supply,Water Issue
Heavy traffic in market area,Traffic
Traffic jam every morning,Traffic
Signal not working,Traffic
Water quality is poor,Water Issue
Dirty water coming from tap,Water Issue
Water is not clean,Water Issue
Contaminated drinking water,Water Issue
Water smells bad,Water Issue
Brown water coming from pipeline,Water Issue
Garbage not collected for a week,Garbage
Dustbin overflowing near market,Garbage
Waste lying on the roadside,Garbage
Garbage pile causing bad smell,Garbage
Trash scattered in public area,Garbage
Garbage collection vehicle not arrived,Garbage
Waste dumped near school,Garbage
Dustbin full for several days,Garbage
Garbage attracting stray animals,Garbage
Unclean surroundings due to waste,Garbage
Huge pothole near bus stop,Road Issue
Road damaged after rain,Road Issue
Broken road causing accidents,Road Issue
Cracks on main road,Road Issue
Road repair needed urgently,Road Issue
Uneven road surface,Road Issue
Large pothole on highway,Road Issue
Road sinking near signal,Road Issue
Damaged road in residential area,Road Issue
Potholes filled with water,Road Issue
Traffic jam near railway station,Traffic
Heavy traffic during office hours,Traffic
Traffic signal not working,Traffic
Signal timing causing congestion,Traffic
Vehicles stuck in long traffic queue,Traffic
Frequent traffic congestion on highway,Traffic
Traffic movement very slow near junction,Traffic
Improper traffic management at signal,Traffic
Road blocked causing traffic issue,Traffic
Traffic build up during peak hours,Traffic
Huge pothole near bus stop,Road Issue
Road damaged after rain,Road Issue
Broken road causing accidents,Road Issue
Cracks on main road,Road Issue
Road repair needed urgently,Road Issue
Uneven road surface,Road Issue
Large pothole on highway,Road Issue
Road sinking near signal,Road Issue
Damaged road in residential area,Road Issue
Potholes filled with water,Road Issue
Water leakage near market,Water Issue
No water supply since morning,Water Issue
Dirty water coming from tap,Water Issue
Low water pressure in society,Water Issue
Water tank overflowing,Water Issue
Brown water from pipeline,Water Issue
Drinking water smells bad,Water Issue
Water pipe burst near school,Water Issue
Contaminated water supply,Water Issue
Water not fit for drinking,Water Issue
Dustbin overflowing near building,Garbage
Garbage bin completely full,Garbage
Public dustbin not emptied,Garbage
Trash bin overflowing on road,Garbage
Dustbin causing foul smell,Garbage
Waste bin not cleaned,Garbage
Garbage container overflowing,Garbage
Municipal dustbin is full,Garbage
Overflowing garbage bin near station,Garbage
Trash scattered around dustbin,Garbage
