complaint,category
Drain water entering road near Ekta Nagar Residents are facing daily trouble because of this.,Drainage
Dangerous spot near Kurla,Public Safety
Uncovered pit near Sion,Public Safety
Transformer sparking in Bandra This issue is causing inconvenience to people.,Electricity
Broken street lamp near Bandra,Street Light
Electric pole damaged near Navi Mumbai This issue is causing inconvenience to people.,Electricity
Power supply problem in Kandivali West,Electricity
Blocked gutter causing smell in Malad West,Drainage
Continuous drilling noise in Mulund,Noise Complaint
Bad road condition near Chembur The situation becomes worse during evening time.,Road Issue
Noise pollution in Mahada Kandivali,Noise Complaint
Dirty water coming from taps in Sion,Water Issue
Power supply problem in Vasai This issue is causing inconvenience to people.,Electricity
No parking rule violation near Vasai,Illegal Parking
Road blocked due to illegal parking near Vasai,Illegal Parking
Noise disturbance reported in Borivali station This issue is causing inconvenience to people.,Noise Complaint
Dustbin overflowing near Powai,Garbage
Noise disturbance reported in Thane,Noise Complaint
Accident risk due to broken road near Mahada Kandivali,Public Safety
Long vehicle queue near Malad West,Traffic
Open drain causing danger near Mulund,Drainage
Road repair needed urgently in Ekta Nagar,Road Issue
Traffic signal not working at Goregaon,Traffic
Severe drainage problem in Ekta Nagar The situation becomes worse during evening time.,Drainage
Trash scattered near Ekta Nagar,Garbage
Unclean surroundings in Charkop,Garbage
Huge pothole near Dadar,Road Issue
Cars blocking road near Borivali station,Illegal Parking
No parking rule violation near Kurla,Illegal Parking
No parking rule violation near Mulund,Illegal Parking
Road blocked causing traffic near Kurla,Traffic
Bad road condition near Mahada Kandivali This is affecting daily life in the area.,Road Issue
Street electric wire issue in Thane This issue is causing inconvenience to people.,Electricity
Street light damaged near Thane Kindly take urgent action.,Street Light
Long vehicle queue near Goregaon,Traffic
Road damaged after rain in Andheri East,Road Issue
Power outage in Thane This is affecting daily life in the area.,Electricity
Drain cover broken near Bandra This is affecting daily life in the area.,Drainage
Parking issue near market in Navi Mumbai,Illegal Parking
Pipeline burst near Mahada Kandivali,Water Issue
Road blocked causing traffic near Powai,Traffic
Low water pressure in Chembur Please resolve this issue quickly.,Water Issue
Frequent traffic jam in Mahada Kandivali Residents are facing daily trouble because of this.,Traffic
